location	date	leadtime	lat	lon	alt	fcst2	fcst3	fcst	obs	elaf	deltaT	lafNN
17000	20140401	12.0	59.1513	10.8288	10.0	8.182526	4.967682	6.2704163	5.9	0.29	3.21484375	0.41
17000	20140402	12.0	59.1513	10.8288	10.0	7.3684387	4.492462	5.4407043	6.7	0.77	2.8759765625	0.33
17000	20140403	12.0	59.1513	10.8288	10.0	9.720856	6.9181213	9.019684	7.9	0.35	2.802734375	0.75
17000	20140404	12.0	59.1513	10.8288	10.0	7.7411194	4.686432	5.708893	6.0	0.43	3.0546875	0.33
17000	20140405	12.0	59.1513	10.8288	10.0	5.6111755	4.0193787	4.790863	3.9	0.0	1.591796875	0.48
17000	20140406	12.0	59.1513	10.8288	10.0	7.323395	6.2101135	6.9181213	6.4	0.17	1.11328125	0.64
17000	20140407	12.0	59.1513	10.8288	10.0	6.6195374	4.620514	5.535553	6.3	0.84	1.9990234375	0.46
17000	20140408	12.0	59.1513	10.8288	10.0	9.106354	8.082916	8.989166	7.0	0.0	1.0234375	0.89
17000	20140409	12.0	59.1513	10.8288	10.0	5.811676	5.591461	6.1075745	3.8	0.0	0.22021484375	1.0
17000	20140410	12.0	59.1513	10.8288	10.0	5.2867737	4.3868713	5.1632385	5.0	0.68	0.89990234375	0.86
17000	20140411	12.0	59.1513	10.8288	10.0	7.872711	5.945465	6.7897034	7.2	0.65	1.92724609375	0.44
17000	20140412	12.0	59.1513	10.8288	10.0	5.5050354	5.5138245	5.694977	6.7	0.0	-0.0087890625	0.0
17000	20140413	12.0	59.1513	10.8288	10.0	11.361481	7.6549377	8.386871	8.0	0.09	3.70654296875	0.2
17000	20140414	12.0	59.1513	10.8288	10.0	11.637299	9.221283	10.7725525	10.5	0.53	2.416015625	0.64
17000	20140415	12.0	59.1513	10.8288	10.0	10.199371	8.017242	9.32486	10.4	1.0	2.18212890625	0.6
17000	20140416	12.0	59.1513	10.8288	10.0	8.312408	6.848053	7.344635	7.4	0.38	1.46435546875	0.34
17000	20140417	12.0	59.1513	10.8288	10.0	6.9770813	7.3354797	7.406769	7.2	0.38	-0.3583984375	0.0
17000	20140418	12.0	59.1513	10.8288	10.0	10.048248	8.509186	9.821686	11.0	1.0	1.5390625	0.85
17000	20140419	12.0	59.1513	10.8288	10.0	12.231598	7.244293	8.346832	8.6	0.27	4.9873046875	0.22
17000	20140420	12.0	59.1513	10.8288	10.0	16.995514	11.575592	14.430084	14.2	0.48	5.419921875	0.53
17000	20140421	12.0	59.1513	10.8288	10.0	19.45401	13.843658	16.440338	17.0	0.56	5.6103515625	0.46
17000	20140422	12.0	59.1513	10.8288	10.0	19.09488	14.11734	16.884918	16.8	0.54	4.9775390625	0.56
17000	20140423	12.0	59.1513	10.8288	10.0	14.261871	10.726715	12.791168	13.6	0.81	3.53515625	0.58
17000	20140424	12.0	59.1513	10.8288	10.0	13.185211	9.980133	11.782379	11.7	0.54	3.205078125	0.56
17000	20140425	12.0	59.1513	10.8288	10.0	16.54483	10.595612	13.400299	11.6	0.17	5.94921875	0.47
17000	20140426	12.0	59.1513	10.8288	10.0	16.879547	10.034821	12.14859	14.4	0.64	6.8447265625	0.31
17000	20140427	12.0	59.1513	10.8288	10.0	19.673492	12.825836	16.239899	16.4	0.52	6.84765625	0.5
17000	20140428	12.0	59.1513	10.8288	10.0	18.527252	11.703033	13.397369	12.9	0.18	6.82421875	0.25
17000	20140429	12.0	59.1513	10.8288	10.0	14.755768	12.26651	14.162018	14.0	0.7	2.4892578125	0.76
17000	20140430	12.0	59.1513	10.8288	10.0	11.82608	9.348541	10.48233	10.3	0.38	2.4775390625	0.46
17000	20150401	12.0	59.1513	10.8288	10.0	6.686676	3.9200745	5.2359924	6.3	0.86	2.7666015625	0.48
17000	20150402	12.0	59.1513	10.8288	10.0	7.368622	5.643036	7.22995	7.1	0.84	1.7255859375	0.92
17000	20150403	12.0	59.1513	10.8288	10.0	7.761139	6.229889	7.7396545	7.2	0.63	1.53125	0.99
17000	20150404	12.0	59.1513	10.8288	10.0	7.530426	5.7154846	7.110504	6.1	0.21	1.81494140625	0.77
17000	20150405	12.0	59.1513	10.8288	10.0	6.217926	3.0924377	4.13443	5.3	0.71	3.12548828125	0.33
17000	20150406	12.0	59.1513	10.8288	10.0	4.4913635	2.4479065	3.067047	5.9	1.0	2.04345703125	0.3
17000	20150407	12.0	59.1513	10.8288	10.0	10.454498	6.2357483	7.34317	7.3	0.25	4.21875	0.26
17000	20150408	12.0	59.1513	10.8288	10.0	12.487213	6.1131897	8.726471	10.0	0.61	6.3740234375	0.41
17000	20150409	12.0	59.1513	10.8288	10.0	8.979889	5.707428	6.413971	7.6	0.58	3.2724609375	0.22
17000	20150410	12.0	59.1513	10.8288	10.0	5.973053	4.271881	5.0101624	5.2	0.55	1.701171875	0.43
17000	20150411	12.0	59.1513	10.8288	10.0	11.016266	6.150055	8.055328	9.3	0.65	4.8662109375	0.39
17000	20150412	12.0	59.1513	10.8288	10.0	7.455475	6.467682	7.127838	6.8	0.34	0.98779296875	0.67
17000	20150413	12.0	59.1513	10.8288	10.0	9.878815	7.429596	8.947174	10.4	1.0	2.44921875	0.62
17000	20150414	12.0	59.1513	10.8288	10.0	4.8868713	5.332184	5.4430237	5.7	0.0	-0.4453125	0.0
17000	20150415	12.0	59.1513	10.8288	10.0	5.2711487	5.275055	5.52652	5.7	0.0	-0.00390625	0.0
17000	20150416	12.0	59.1513	10.8288	10.0	9.900055	7.5367737	9.254547	10.5	1.0	2.36328125	0.73
17000	20150417	12.0	59.1513	10.8288	10.0	11.347809	9.217926	10.623199	11.5	1.0	2.1298828125	0.66
17000	20150418	12.0	59.1513	10.8288	10.0	12.933502	6.5731506	7.997467	8.0	0.22	6.3603515625	0.22
17000	20150419	12.0	59.1513	10.8288	10.0	15.42276	11.00235	14.025787	10.5	0.0	4.42041015625	0.68
17000	20150420	12.0	59.1513	10.8288	10.0	17.79776	8.66153	10.44278	10.1	0.16	9.13623046875	0.19
17000	20150421	12.0	59.1513	10.8288	10.0	17.128082	8.837067	10.948883	10.1	0.15	8.291015625	0.25
17000	20150422	12.0	59.1513	10.8288	10.0	14.069244	8.716705	9.28653	10.5	0.33	5.3525390625	0.11
17000	20150423	12.0	59.1513	10.8288	10.0	14.891998	9.528717	10.376373	12.5	0.55	5.36328125	0.16
17000	20150424	12.0	59.1513	10.8288	10.0	9.290497	7.8891296	8.344208	8.1	0.15	1.4013671875	0.32
17000	20150425	12.0	59.1513	10.8288	10.0	7.866394	8.207214	8.352722	8.1	0.31	-0.3408203125	0.0
17000	20150426	12.0	59.1513	10.8288	10.0	9.184723	7.360504	8.112457	7.7	0.19	1.82421875	0.41
17000	20150427	12.0	59.1513	10.8288	10.0	8.246246	6.173004	6.943512	7.4	0.59	2.0732421875	0.37
17000	20150428	12.0	59.1513	10.8288	10.0	10.311432	6.627838	7.6756897	7.4	0.21	3.68359375	0.28
17000	20150429	12.0	59.1513	10.8288	10.0	7.7047424	6.716461	7.328766	7.6	0.89	0.98828125	0.62
17000	20150430	12.0	59.1513	10.8288	10.0	8.287994	6.971588	7.7294006	8.1	0.86	1.31640625	0.58
17000	20160401	12.0	59.1513	10.8288	10.0	4.893738	3.3244019	4.144226	5.0	1.0	1.5693359375	0.52
17000	20160402	12.0	59.1513	10.8288	10.0	5.8907776	5.587555	5.868805	5.6	0.04	0.30322265625	0.93
17000	20160403	12.0	59.1513	10.8288	10.0	7.5951233	6.295807	7.483307	7.7	1.0	1.29931640625	0.91
17000	20160404	12.0	59.1513	10.8288	10.0	9.996735	5.8614807	8.136383	10.6	1.0	4.13525390625	0.55
17000	20160405	12.0	59.1513	10.8288	10.0	6.2479553	5.159088	5.744049	6.1	0.86	1.0888671875	0.54
17000	20160406	12.0	59.1513	10.8288	10.0	5.3973694	4.8172913	5.5282288	6.1	1.0	0.580078125	1.0
17000	20160407	12.0	59.1513	10.8288	10.0	6.51651	5.330963	6.1595764	6.6	1.0	1.185546875	0.7
17000	20160408	12.0	59.1513	10.8288	10.0	5.231598	4.4962463	4.8839417	5.7	1.0	0.7353515625	0.53
17000	20160409	12.0	59.1513	10.8288	10.0	6.7379456	4.6022034	5.866852	6.2	0.75	2.1357421875	0.59
17000	20160410	12.0	59.1513	10.8288	10.0	9.734772	6.4847717	7.990631	8.4	0.59	3.25	0.46
17000	20160411	12.0	59.1513	10.8288	10.0	10.317291	5.3036194	7.146393	7.4	0.42	5.013671875	0.37
17000	20160412	12.0	59.1513	10.8288	10.0	11.746246	8.152496	10.136871	11.1	0.82	3.59375	0.55
17000	20160413	12.0	59.1513	10.8288	10.0	10.854889	7.7035217	9.144928	9.7	0.63	3.1513671875	0.46
17000	20160414	12.0	59.1513	10.8288	10.0	8.743805	7.202301	8.063629	7.5	0.19	1.54150390625	0.56
17000	20160415	12.0	59.1513	10.8288	10.0	5.693756	6.183014	6.1961975	7.1	0.0	-0.4892578125	0.0
17000	20160416	12.0	59.1513	10.8288	10.0	6.0802307	6.044098	6.231598	8.2	1.0	0.0361328125	1.0
17000	20160417	12.0	59.1513	10.8288	10.0	8.173981	7.1407776	8.283356	7.7	0.54	1.033203125	1.0
17000	20160418	12.0	59.1513	10.8288	10.0	7.652252	7.056061	7.6561584	7.5	0.74	0.59619140625	1.0
17000	20160419	12.0	59.1513	10.8288	10.0	10.478424	9.0277405	10.377838	11.7	1.0	1.45068359375	0.93
17000	20160420	12.0	59.1513	10.8288	10.0	10.844391	7.7867737	9.519684	8.9	0.36	3.0576171875	0.57
17000	20160421	12.0	59.1513	10.8288	10.0	12.262024	8.532532	9.401672	8.6	0.02	3.7294921875	0.23
17000	20160422	12.0	59.1513	10.8288	10.0	9.305328	7.4845276	8.578766	9.7	1.0	1.82080078125	0.6
17000	20160423	12.0	59.1513	10.8288	10.0	7.1351624	4.959381	6.1874084	6.8	0.85	2.17578125	0.56
17000	20160424	12.0	59.1513	10.8288	10.0	6.9587097	5.6774597	6.7692566	6.9	0.95	1.28125	0.85
17000	20160425	12.0	59.1513	10.8288	10.0	6.004059	5.434723	6.2521057	4.6	0.0	0.5693359375	1.0
17000	20160426	12.0	59.1513	10.8288	10.0	4.9808655	4.7328186	5.0921936	6.2	1.0	0.248046875	1.0
17000	20160427	12.0	59.1513	10.8288	10.0	8.748199	7.1783752	8.3815	8.7	0.97	1.56982421875	0.77
17000	20160428	12.0	59.1513	10.8288	10.0	8.080475	7.763092	8.607819	9.1	1.0	0.3173828125	1.0
17000	20160429	12.0	59.1513	10.8288	10.0	8.128815	7.348053	8.097565	7.4	0.07	0.78076171875	0.96
17000	20160430	12.0	59.1513	10.8288	10.0	4.673004	5.6373596	5.5836487	4.6	1.0	-0.96435546875	0.06
17090	20140401	12.0	59.3503	10.897	50.0	7.6336975	6.3856506	7.6336975	7.1	0.57	1.248046875	1.0
17090	20140402	12.0	59.3503	10.897	50.0	8.961212	7.184845	8.961212	7.2	0.01	1.7763671875	1.0
17090	20140403	12.0	59.3503	10.897	50.0	9.352692	7.90152	9.352692	9.1	0.83	1.451171875	1.0
17090	20140414	12.0	59.3503	10.897	50.0	11.388763	10.108002	11.388763	11.4	1.0	1.28076171875	1.0
17090	20140415	12.0	59.3503	10.897	50.0	10.10318	9.084137	10.10318	9.6	0.51	1.01904296875	1.0
17090	20140416	12.0	59.3503	10.897	50.0	9.948151	9.205475	9.948151	8.1	0.0	0.74267578125	1.0
17090	20140417	12.0	59.3503	10.897	50.0	7.3667297	7.185089	7.3667297	6.0	0.0	0.181640625	1.0
17090	20140419	12.0	59.3503	10.897	50.0	14.443512	12.077301	14.443512	11.7	0.0	2.3662109375	1.0
17090	20140420	12.0	59.3503	10.897	50.0	17.4086	16.182037	17.4086	15.3	0.0	1.2265625	1.0
17090	20140421	12.0	59.3503	10.897	50.0	18.777252	17.367096	18.777252	18.2	0.59	1.41015625	1.0
17090	20140422	12.0	59.3503	10.897	50.0	18.816559	17.9357	18.816559	18.8	0.98	0.880859375	1.0
17090	20140423	12.0	59.3503	10.897	50.0	14.002106	13.774567	14.002106	14.3	1.0	0.2275390625	1.0
17090	20140426	12.0	59.3503	10.897	50.0	18.93863	18.181305	18.93863	17.8	0.0	0.75732421875	1.0
17090	20140427	12.0	59.3503	10.897	50.0	20.873688	19.501617	20.873688	19.8	0.22	1.3720703125	1.0
17090	20140428	12.0	59.3503	10.897	50.0	20.484283	18.943268	20.484283	18.8	0.0	1.541015625	1.0
17090	20140429	12.0	59.3503	10.897	50.0	14.143463	12.969635	14.143463	10.0	0.0	1.173828125	1.0
17090	20140430	12.0	59.3503	10.897	50.0	13.222565	11.879791	13.222565	11.1	0.0	1.3427734375	1.0
17090	20150401	12.0	59.3503	10.897	50.0	6.582672	6.379059	6.582672	9.7	1.0	0.20361328125	1.0
17090	20150402	12.0	59.3503	10.897	50.0	7.0102234	6.87204	7.0102234	8.7	1.0	0.13818359375	1.0
17090	20150403	12.0	59.3503	10.897	50.0	8.094147	7.483795	8.094147	8.8	1.0	0.6103515625	1.0
17090	20150404	12.0	59.3503	10.897	50.0	7.348297	6.6422424	7.348297	8.0	1.0	0.7060546875	1.0
17090	20150405	12.0	59.3503	10.897	50.0	6.30484	5.5538635	6.30484	8.3	1.0	0.7509765625	1.0
17090	20150406	12.0	59.3503	10.897	50.0	7.5538635	6.813141	7.5538635	7.9	1.0	0.74072265625	1.0
17090	20150407	12.0	59.3503	10.897	50.0	13.117584	12.273346	13.117584	15.3	1.0	0.84423828125	1.0
17090	20150408	12.0	59.3503	10.897	50.0	12.021393	10.987701	12.021393	12.1	1.0	1.03369140625	1.0
17090	20150409	12.0	59.3503	10.897	50.0	13.334869	12.765045	13.334869	12.9	0.24	0.56982421875	1.0
17090	20150410	12.0	59.3503	10.897	50.0	9.294342	8.953522	9.294342	5.9	0.0	0.3408203125	1.0
17090	20150411	12.0	59.3503	10.897	50.0	12.733063	11.056305	12.733063	10.1	0.0	1.6767578125	1.0
17090	20150412	12.0	59.3503	10.897	50.0	7.9095764	9.032135	7.9095764	7.7	1.0	-1.12255859375	1.0
17090	20150413	12.0	59.3503	10.897	50.0	9.905182	9.280182	9.905182	10.3	1.0	0.625	1.0
17090	20150414	12.0	59.3503	10.897	50.0	4.370758	4.7223206	4.370758	5.3	0.0	-0.3515625	1.0
17090	20150415	12.0	59.3503	10.897	50.0	5.69693	5.8404846	5.69693	6.5	0.0	-0.1435546875	1.0
17090	20150416	12.0	59.3503	10.897	50.0	10.04068	9.764313	10.04068	10.1	1.0	0.2763671875	1.0
17090	20150417	12.0	59.3503	10.897	50.0	11.273102	10.596832	11.273102	11.1	0.74	0.67626953125	1.0
17090	20150418	12.0	59.3503	10.897	50.0	13.842682	12.792389	13.842682	11.8	0.0	1.05029296875	1.0
17090	20150419	12.0	59.3503	10.897	50.0	15.577545	14.003815	15.577545	15.6	1.0	1.57373046875	1.0
17090	20150420	12.0	59.3503	10.897	50.0	19.4794	17.959381	19.4794	18.2	0.16	1.52001953125	1.0
17090	20150421	12.0	59.3503	10.897	50.0	16.271149	15.015778	16.271149	14.6	0.0	1.25537109375	1.0
17090	20150422	12.0	59.3503	10.897	50.0	17.58194	16.240631	17.58194	15.8	0.0	1.34130859375	1.0
17090	20150423	12.0	59.3503	10.897	50.0	14.954498	13.416412	14.954498	14.5	0.7	1.5380859375	1.0
17090	20150424	12.0	59.3503	10.897	50.0	10.625458	10.151825	10.625458	10.8	1.0	0.4736328125	1.0
17090	20150425	12.0	59.3503	10.897	50.0	7.3673706	7.581238	7.3673706	7.9	0.0	-0.2138671875	1.0
17090	20150426	12.0	59.3503	10.897	50.0	10.822418	9.963043	10.822418	9.9	0.0	0.859375	1.0
17090	20150427	12.0	59.3503	10.897	50.0	9.220856	8.332184	9.220856	8.5	0.19	0.888671875	1.0
17090	20150428	12.0	59.3503	10.897	50.0	12.073151	10.994049	12.073151	10.2	0.0	1.0791015625	1.0
17090	20150429	12.0	59.3503	10.897	50.0	7.7721252	7.382477	7.7721252	7.3	0.0	0.3896484375	1.0
17090	20150430	12.0	59.3503	10.897	50.0	8.593658	7.835846	8.593658	8.9	1.0	0.7578125	1.0
17090	20160401	12.0	59.3503	10.897	50.0	5.8136597	4.9816284	5.8136597	6.3	1.0	0.83203125	1.0
17090	20160402	12.0	59.3503	10.897	50.0	6.1896057	5.745758	6.1896057	6.3	1.0	0.44384765625	1.0
17090	20160403	12.0	59.3503	10.897	50.0	6.9232483	6.2782288	6.9232483	8.9	1.0	0.64501953125	1.0
17090	20160404	12.0	59.3503	10.897	50.0	9.784821	9.375153	9.784821	11.7	1.0	0.40966796875	1.0
17090	20160405	12.0	59.3503	10.897	50.0	7.514557	7.4237366	7.514557	8.0	1.0	0.0908203125	1.0
17090	20160406	12.0	59.3503	10.897	50.0	5.9501038	5.773346	5.9501038	8.1	1.0	0.1767578125	1.0
17090	20160408	12.0	59.3503	10.897	50.0	4.275543	4.2032776	4.275543	6.0	1.0	0.072265625	1.0
17090	20160409	12.0	59.3503	10.897	50.0	6.942047	7.049469	6.942047	7.0	0.46	-0.107421875	1.0
17090	20160410	12.0	59.3503	10.897	50.0	9.716217	8.88028	9.716217	10.1	1.0	0.8359375	1.0
17090	20160411	12.0	59.3503	10.897	50.0	10.6805725	10.088776	10.6805725	11.8	1.0	0.591796875	1.0
17090	20160412	12.0	59.3503	10.897	50.0	11.071442	10.105621	11.071442	14.6	1.0	0.9658203125	1.0
17090	20160413	12.0	59.3503	10.897	50.0	10.551178	9.6586	10.551178	13.2	1.0	0.892578125	1.0
17090	20160414	12.0	59.3503	10.897	50.0	8.885895	8.63736	8.885895	8.8	0.65	0.24853515625	1.0
17090	20160415	12.0	59.3503	10.897	50.0	6.540436	6.6419983	6.540436	7.2	0.0	-0.1015625	1.0
17090	20160416	12.0	59.3503	10.897	50.0	7.02652	7.0851135	7.02652	9.3	0.0	-0.05859375	1.0
17090	20160417	12.0	59.3503	10.897	50.0	7.619293	6.978668	7.619293	7.8	1.0	0.640625	1.0
17090	20160418	12.0	59.3503	10.897	50.0	8.186432	7.7445374	8.186432	9.2	1.0	0.44189453125	1.0
17090	20160419	12.0	59.3503	10.897	50.0	9.856354	9.681061	9.856354	13.0	1.0	0.17529296875	1.0
17090	20160420	12.0	59.3503	10.897	50.0	10.795563	10.501129	10.795563	12.7	1.0	0.29443359375	1.0
17090	20160421	12.0	59.3503	10.897	50.0	12.689758	12.17804	12.689758	11.3	0.0	0.51171875	1.0
17090	20160422	12.0	59.3503	10.897	50.0	8.889313	8.504059	8.889313	10.0	1.0	0.38525390625	1.0
17090	20160423	12.0	59.3503	10.897	50.0	7.034088	6.76651	7.034088	8.1	1.0	0.267578125	1.0
17090	20160424	12.0	59.3503	10.897	50.0	5.134491	6.450897	5.134491	7.2	0.0	-1.31640625	1.0
17090	20160425	12.0	59.3503	10.897	50.0	5.860504	5.8038635	5.860504	6.6	1.0	0.056640625	1.0
17090	20160426	12.0	59.3503	10.897	50.0	5.68692	5.198639	5.68692	7.0	1.0	0.48828125	1.0
17090	20160428	12.0	59.3503	10.897	50.0	7.910553	7.763092	7.910553	8.4	1.0	0.1474609375	1.0
17090	20160429	12.0	59.3503	10.897	50.0	7.78067	7.433014	7.78067	7.4	0.0	0.34765625	1.0
17150	20140401	12.0	59.3742	10.798	40.0	7.268463	5.101471	7.148346	7.4	1.0	2.1669921875	0.94
17150	20140402	12.0	59.3742	10.798	40.0	7.5432434	3.8078918	8.026642	6.7	0.77	3.7353515625	1.0
17150	20140403	12.0	59.3742	10.798	40.0	9.042145	6.1993713	8.799957	9.8	1.0	2.8427734375	0.91
17150	20140404	12.0	59.3742	10.798	40.0	9.742096	4.605377	10.621002	10.0	1.0	5.13671875	1.0
17150	20140405	12.0	59.3742	10.798	40.0	6.1424255	3.275238	7.1980896	3.5	0.08	2.8671875	1.0
17150	20140406	12.0	59.3742	10.798	40.0	8.730621	5.2169495	9.024567	7.8	0.74	3.513671875	1.0
17150	20140407	12.0	59.3742	10.798	40.0	9.477936	4.289459	10.601959	8.7	0.85	5.1884765625	1.0
17150	20140408	12.0	59.3742	10.798	40.0	9.106354	7.7362366	8.8680725	6.6	0.0	1.3701171875	0.83
17150	20140409	12.0	59.3742	10.798	40.0	5.908844	5.05777	5.64859	3.2	0.0	0.85107421875	0.69
17150	20140410	12.0	59.3742	10.798	40.0	5.2467346	3.6769104	5.4493713	4.8	0.72	1.56982421875	1.0
17150	20140411	12.0	59.3742	10.798	40.0	9.021637	5.7340393	9.489899	11.2	1.0	3.28759765625	1.0
17150	20140412	12.0	59.3742	10.798	40.0	6.1544495	5.2618713	6.278473	6.5	1.0	0.892578125	1.0
17150	20140413	12.0	59.3742	10.798	40.0	12.643707	8.906891	12.582184	12.1	0.85	3.73681640625	0.98
17150	20140414	12.0	59.3742	10.798	40.0	11.502533	8.876068	11.082611	11.8	1.0	2.62646484375	0.84
17150	20140415	12.0	59.3742	10.798	40.0	10.124664	7.3873596	9.897125	10.2	1.0	2.7373046875	0.92
17150	20140416	12.0	59.3742	10.798	40.0	9.165436	6.4916077	9.618561	9.2	1.0	2.673828125	1.0
17150	20140417	12.0	59.3742	10.798	40.0	7.140167	6.750519	7.198761	6.9	0.38	0.3896484375	1.0
17150	20140418	12.0	59.3742	10.798	40.0	10.12442	8.447174	10.088776	11.1	1.0	1.67724609375	0.98
17150	20140419	12.0	59.3742	10.798	40.0	12.73941	6.6183167	13.15152	12.6	0.98	6.12109375	1.0
17150	20140420	12.0	59.3742	10.798	40.0	17.707428	10.172272	17.503326	16.7	0.87	7.53515625	0.97
17150	20140421	12.0	59.3742	10.798	40.0	18.745026	14.439362	18.549713	18.3	0.9	4.3056640625	0.95
17150	20140422	12.0	59.3742	10.798	40.0	19.237457	14.605621	18.954254	18.5	0.84	4.6318359375	0.94
17150	20140423	12.0	59.3742	10.798	40.0	14.58609	11.228668	14.289215	14.5	0.97	3.357421875	0.91
17150	20140424	12.0	59.3742	10.798	40.0	13.243805	10.388824	12.999176	11.3	0.32	2.85498046875	0.91
17150	20140425	12.0	59.3742	10.798	40.0	17.323639	11.483795	17.355377	12.8	0.23	5.83984375	1.0
17150	20140426	12.0	59.3742	10.798	40.0	19.528473	12.615387	19.324371	18.1	0.79	6.9130859375	0.97
