location	date	leadtime	lat	lon	alt	fcst2	fcst3	fcst	obs	elaf	deltaT	lafNN
17000	20141201	12.0	59.1513	10.8288	10.0	-0.4109192	0.6994324	0.6603699	1.0	0.0	-1.1103515625	0.04
17000	20141202	12.0	59.1513	10.8288	10.0	0.3059082	0.96606445	0.888916	2.0	0.0	-0.66015625	0.12
17000	20141203	12.0	59.1513	10.8288	10.0	2.6217346	4.5655823	3.9942932	5.0	0.0	-1.94384765625	0.29
17000	20141204	12.0	59.1513	10.8288	10.0	5.950592	6.339264	6.399811	5.8	1.0	-0.388671875	0.0
17000	20141205	12.0	59.1513	10.8288	10.0	0.7708435	1.3509216	1.2991638	1.9	0.0	-0.580078125	0.09
17000	20141206	12.0	59.1513	10.8288	10.0	-0.986145	-0.82696533	-0.74884033	-0.1	0.0	-0.1591796875	0.0
17000	20141207	12.0	59.1513	10.8288	10.0	7.072418	7.2848206	7.3453674	7.7	0.0	-0.21240234375	0.0
17000	20141208	12.0	59.1513	10.8288	10.0	2.9537048	4.438568	4.1460876	5.3	0.0	-1.48486328125	0.2
17000	20141209	12.0	59.1513	10.8288	10.0	0.67111206	3.4963074	2.9933777	3.9	0.0	-2.8251953125	0.18
17000	20141210	12.0	59.1513	10.8288	10.0	4.4668274	5.7617493	5.56839	5.7	0.05	-1.294921875	0.15
17000	20141211	12.0	59.1513	10.8288	10.0	3.8176575	4.4875793	4.4621887	3.4	1.0	-0.669921875	0.04
17000	20141212	12.0	59.1513	10.8288	10.0	4.699188	6.0048523	5.814911	5.3	0.54	-1.3056640625	0.15
17000	20141213	12.0	59.1513	10.8288	10.0	1.2308044	3.1497498	2.6438904	4.0	0.0	-1.9189453125	0.26
17000	20141214	12.0	59.1513	10.8288	10.0	6.1039124	6.690338	6.7416077	6.5	0.32	-0.58642578125	0.0
17000	20141215	12.0	59.1513	10.8288	10.0	4.794647	5.842499	5.764862	5.8	0.04	-1.0478515625	0.07
17000	20141216	12.0	59.1513	10.8288	10.0	2.234436	3.8399048	3.5562134	4.2	0.0	-1.60546875	0.18
17000	20141217	12.0	59.1513	10.8288	10.0	-2.6976624	-1.1585999	-1.9476624	-1.2	0.03	-1.5390625	0.51
17000	20141218	12.0	59.1513	10.8288	10.0	2.3207092	5.6576233	4.0941467	4.3	0.41	-3.3369140625	0.47
17000	20141219	12.0	59.1513	10.8288	10.0	3.962738	5.082855	4.905121	5.1	0.0	-1.1201171875	0.16
17000	20141220	12.0	59.1513	10.8288	10.0	0.9482727	2.1455383	1.7656555	3.2	0.0	-1.197265625	0.32
17000	20151201	12.0	59.1513	10.8288	10.0	4.149811	5.7049866	5.346588	6.7	0.0	-1.55517578125	0.23
17000	20151202	12.0	59.1513	10.8288	10.0	7.0134277	7.6018066	7.5324707	6.2	1.0	-0.58837890625	0.12
17000	20151203	12.0	59.1513	10.8288	10.0	4.5811768	6.5806885	6.0128174	7.0	0.0	-1.99951171875	0.28
17000	20151204	12.0	59.1513	10.8288	10.0	6.806549	7.896881	7.7626038	8.6	0.0	-1.09033203125	0.12
17000	20151205	12.0	59.1513	10.8288	10.0	8.86441	8.977692	9.121735	10.0	0.0	-0.11328125	0.0
17000	20151206	12.0	59.1513	10.8288	10.0	8.611237	8.479889	8.549713	9.5	1.0	0.13134765625	0.53
17000	20151207	12.0	59.1513	10.8288	10.0	5.5326233	6.2660217	6.0521545	7.8	0.0	-0.7333984375	0.29
17000	20151208	12.0	59.1513	10.8288	10.0	7.269684	7.693512	7.6803284	8.5	0.0	-0.423828125	0.03
17000	20151209	12.0	59.1513	10.8288	10.0	6.078888	7.3962708	7.176056	8.3	0.0	-1.3173828125	0.17
17000	20151210	12.0	59.1513	10.8288	10.0	8.430267	8.7691345	8.83017	9.4	0.0	-0.3388671875	0.0
17000	20151211	12.0	59.1513	10.8288	10.0	4.7932434	6.101349	5.773224	5.9	0.15	-1.30810546875	0.25
17000	20151212	12.0	59.1513	10.8288	10.0	2.6505432	4.231598	3.7833557	5.3	0.0	-1.5810546875	0.28
17000	20151213	12.0	59.1513	10.8288	10.0	-1.5299377	-0.35025024	-0.7711487	1.5	0.0	-1.1796875	0.36
17000	20151214	12.0	59.1513	10.8288	10.0	-2.011139	-0.1156311	-0.8753967	-2.6	1.0	-1.8955078125	0.4
17000	20151215	12.0	59.1513	10.8288	10.0	-4.4180603	-2.414154	-2.9776306	-4.3	0.94	-2.00390625	0.28
17000	20151216	12.0	59.1513	10.8288	10.0	1.1916809	2.528595	2.3625793	3.3	0.0	-1.3369140625	0.12
17000	20151217	12.0	59.1513	10.8288	10.0	3.0342102	3.834015	3.7685852	4.9	0.0	-0.7998046875	0.08
17000	20151218	12.0	59.1513	10.8288	10.0	7.3984375	7.3554688	7.4990234	8.2	1.0	0.04296875	1.0
17000	20151219	12.0	59.1513	10.8288	10.0	7.3361206	7.027527	7.1779175	7.9	1.0	0.30859375	0.49
17000	20151220	12.0	59.1513	10.8288	10.0	8.7388	8.844269	8.971222	9.0	0.0	-0.10546875	0.0
17000	20151221	12.0	59.1513	10.8288	10.0	7.5533447	7.75354	7.822876	8.5	0.0	-0.2001953125	0.0
17000	20151222	12.0	59.1513	10.8288	10.0	7.5524597	8.206757	8.246796	7.8	0.62	-0.654296875	0.0
17000	20151223	12.0	59.1513	10.8288	10.0	7.4538574	8.102295	8.115967	8.0	0.16	-0.6484375	0.0
17000	20151224	12.0	59.1513	10.8288	10.0	7.4104004	7.8859863	7.9387207	8.2	0.0	-0.4755859375	0.0
17000	20151225	12.0	59.1513	10.8288	10.0	5.710602	6.5777893	6.4518127	6.3	0.32	-0.8671875	0.15
17000	20151226	12.0	59.1513	10.8288	10.0	0.42236328	1.8520508	1.3549805	0.4	1.0	-1.4296875	0.35
17000	20151227	12.0	59.1513	10.8288	10.0	-1.7063293	-0.14285278	-0.64089966	-1.4	0.8	-1.5634765625	0.32
